date,seconds
2006-03-01,0.114
2006-03-10,0.1245
2006-04-04,1.5384
2006-05-03,0.4368
2006-06-18,0.08
2006-07-09,0.1205
2006-07-14,0.1809
2006-08-22,0.0736
2006-10-04,0.0477
2006-10-16,0.076
2006-11-03,0.0542
2006-12-06,0.1366
2007-02-02,0.0613
2007-04-06,0.058
2007-04-07,0.039
2007-05-10,0.0698
2007-06-08,0.1884
2007-06-10,0.0107
2007-07-10,0.3785
2007-08-14,0.0266
2007-09-13,0.0515
2007-12-14,0.0259
2008-01-19,0.456
2008-02-19,0.0239
2008-03-27,0.8786
2008-05-06,0.1372
2008-05-11,0.0439
2008-09-22,0.3778
2008-12-21,0.0076
2009-02-20,0.0078
2009-04-22,0.0082
2009-06-05,0.0079
2009-08-17,0.0082
2009-09-17,0.0081
2009-11-30,0.0422
2009-12-31,0.0228
2010-01-31,0.0113
2010-02-01,0.0084
2010-04-19,0.0121
2010-08-08,0.0076
2010-11-26,0.0085
2011-03-17,0.0091
2011-07-02,0.0186
2011-09-01,0.0279
2011-10-11,0.2201
2011-11-11,0.0259
2011-12-11,0.0954
2012-01-21,0.0235
2012-04-19,0.0079
