date,total_points,avg_points,connected_5min,connected_60min,connected_12h,connected_24h,connected_48h,connected_7d,connected_30d,connected_1y
2006-05-04,,,2,12,31,36,40,60,66,66
2006-07-12,,,1,7,18,29,39,69,155,219
2006-08-27,,,1,9,26,26,33,54,103,281
2006-10-13,,,1,4,54,63,94,132,160,397
2006-10-22,,,0,0,30,46,60,100,207,447
2006-12-07,,,0,3,17,24,34,58,124,134
2007-02-04,,,0,0,12,15,27,43,101,105
2007-04-26,,,1,3,15,28,35,57,117,123
2008-01-26,,,1,1,8,16,18,26,45,489
2008-03-27,4871312396,58690511,0,1,5,15,15,20,45,83
2008-05-26,5805339967,51374690,3,6,12,17,21,25,40,113
2008-07-24,5945405532,39902051,0,3,10,11,15,23,51,149
2009-06-06,109275094228,324258440,0,88,95,98,98,112,122,337
2011-10-12,1390778199946,25286876363,0,1,2,2,3,7,11,55
