date,position,name,score,love_points
2006-07-12,1,Blade,1263800,
2006-07-12,2,georgeabitbol,1101352,
2006-07-12,3,Petrus,725377,
2006-07-12,4,totalbmx,682131,
2006-07-12,5,larve_attitude,413183,
2006-07-12,6,kapwee,226656,
2006-07-12,7,love_yenan,202439,
2006-07-12,8,Odalmat,171047,
2006-07-12,9,m0nk3y,165328,
2006-07-12,10,pipo44,112969,
2006-07-12,11,boulette,83645,
2006-07-12,12,Lady,82976,
2006-07-12,13,Thomas,80727,
2006-07-12,14,YoOups,78219,
2006-07-12,15,MoutonLover,50417,
2006-07-12,16,LaMarion,48057,
2006-07-12,17,kiruathecat,47798,
2006-07-12,18,psgbizoo,36931,
2006-07-12,19,sdan,29691,
2006-07-12,20,malis,28059,
2006-08-25,1,georgeabitbol,3352166,
2006-08-25,2,Blade,3132333,
2006-08-25,3,Petrus,1732393,
2006-08-25,4,totalbmx,908575,
2006-08-25,5,sdan,489067,
2006-08-25,6,larve_attitude,413183,
2006-08-25,7,Nicolas,319554,
2006-08-25,8,grandbeb,268799,
2006-08-25,9,boulette,268493,
2006-08-25,10,LaMarion,260088,
2006-08-25,11,kapwee,230420,
2006-08-25,12,love_yenan,204308,
2006-08-25,13,Thomas,183217,
2006-08-25,14,Odalmat,172387,
2006-08-25,15,bibi27,166995,
2006-08-25,16,pipo44,118718,
2006-08-25,17,malis,111764,
2006-08-25,18,Lady,106615,
2006-08-25,19,YoOups,81939,
2006-08-25,20,MoutonLover,81654,
2006-10-04,1,georgeabitbol,7696024,
2006-10-04,2,Blade,3419100,
2006-10-04,3,sdan,2099250,
2006-10-04,4,grandbeb,2042081,
2006-10-04,5,Petrus,2001913,
2006-10-04,6,Darkness,612825,
2006-10-04,7,larve_attitude,413183,
2006-10-04,8,alde,393196,
2006-10-04,9,methilda,278975,
2006-10-04,10,Etoile,267066,
2006-10-04,11,LaMarion,260488,
2006-10-04,12,kapwee,230420,
2006-10-04,13,love_yenan,204308,
2006-10-04,14,malis,203971,
2006-10-04,15,Fleanette,176280,
2006-10-04,16,Odalmat,172387,
2006-10-04,17,pipo44,118718,
2006-10-04,18,Lady,114703,
2006-10-04,19,LordGiroll,91006,
2006-10-04,20,kiruathecat,82895,
2006-10-16,1,georgeabitbol,7719847,
2006-10-16,2,Petrus,3555322,
2006-10-16,3,Blade,3419141,
2006-10-16,4,grandbeb,3303520,
2006-10-16,5,sdan,2519443,
2006-10-16,6,Darkness,803335,
2006-10-16,7,methilda,569285,
2006-10-16,8,alde,568842,
2006-10-16,9,larve_attitude,413183,
2006-10-16,10,Etoile,284259,
2006-10-16,11,LaMarion,260488,
2006-10-16,12,kapwee,230420,
2006-10-16,13,Fleanette,207004,
2006-10-16,14,love_yenan,204308,
2006-10-16,15,malis,203971,
2006-10-16,16,Odalmat,172387,
2006-10-16,17,LordGiroll,124603,
2006-10-16,18,pipo44,118718,
2006-10-16,19,Lady,114703,
2006-10-16,20,kiruathecat,82895,
2006-12-06,1,Petrus,16921850,
2006-12-06,2,georgeabitbol,12543716,
2006-12-06,3,sdan,7421120,
2006-12-06,4,methilda,4393932,
2006-12-06,5,Blade,3420856,
2006-12-06,6,Darkness,3232548,
2006-12-06,7,Rincevent,2833049,
2006-12-06,8,alde,2254719,
2006-12-06,9,Fleanette,2111227,
2006-12-06,10,Kikoo,885689,
2006-12-06,11,Etoile,566699,
2006-12-06,12,LordGiroll,552685,
2006-12-06,13,cat_loic,539814,
2006-12-06,14,LaMarion,260488,
2006-12-06,15,malis,209478,
2006-12-06,16,love_yenan,207026,
2006-12-06,17,Odalmat,179822,
2006-12-06,18,batosai,74896,
2006-12-06,19,Enirak,62776,
2006-12-06,20,redoudou,50666,
2007-02-02,1,Petrus,17812619,
2007-02-02,2,georgeabitbol,12866348,
2007-02-02,3,sdan,7576677,
2007-02-02,4,methilda,4542355,
2007-02-02,5,Blade,3423012,
2007-02-02,6,Darkness,3233157,
2007-02-02,7,Rincevent,3001924,
2007-02-02,8,alde,2497476,
2007-02-02,9,cat_loic,1027950,
2007-02-02,10,Kikoo,903463,
2007-02-02,11,Etoile,614133,
2007-02-02,12,batosai,76464,
2007-02-02,13,poliotte,75429,
2007-02-02,14,Enirak,69616,
2007-02-02,15,zozo,59900,
2007-02-02,16,MiMiX,42263,
2007-02-02,17,Ln,39234,
2007-02-02,18,Lain2006,35647,
2007-02-02,19,Templar,35071,
2007-02-02,20,blue112,26342,
2007-04-06,1,Petrus,18854863,
2007-04-06,2,sdan,7577036,
2007-04-06,3,Darkness,3237587,
2007-04-06,4,cat_loic,1763806,
2007-04-06,5,Etoile,819674,
2007-04-06,6,poliotte,697066,
2007-04-06,7,batosai,95476,
2007-04-06,8,Enirak,75390,
2007-04-06,9,zozo,65235,
2007-04-06,10,Liloulove,40901,
2007-04-06,11,blue112,33493,
